databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Genus	Family	Order	Class	Phylum
utax	67sp	mock6	set1	V4	even	frogs	41.33910405	18.25197095	10.96173469	10.95230691	8.749872914
utax	67sp	mock6	set2	V4	even	frogs	43.13598886	20.60205764	10.70918169	10.70467648	8.987512072
utax	67sp	mock6	set3	V4	even	frogs	43.25641286	19.95174179	11.16288125	11.15689434	8.624687155
utax	67sp	mock7	set1	V4	even	frogs	39.87480582	23.65594797	12.20277356	10.87818271	6.4523942
utax	67sp	mock7	set2	V4	even	frogs	40.33476817	24.27228227	15.12141059	13.42754794	5.204010418
utax	67sp	mock7	set3	V4	even	frogs	40.82451571	22.35197714	13.18180233	13.18180233	5.500407953
utax	67sp	mock8	set1	V4	even	frogs	39.6640549	23.49413524	12.25067175	11.09708782	6.872430299
utax	67sp	mock8	set2	V4	even	frogs	40.35726316	24.45012982	15.25223192	13.77240165	5.959986852
utax	67sp	mock8	set3	V4	even	frogs	40.66730895	21.71508667	12.46705672	12.46705672	4.502574629
utax	67sp	mock6	set1	V4	even	mothur	45.38151935	20.27169191	11.99568597	11.25240691	9.026922585
utax	67sp	mock6	set2	V4	even	mothur	47.58928904	23.26986653	11.918271	11.16749191	9.093730064
utax	67sp	mock6	set3	V4	even	mothur	47.59774713	22.37619248	12.49252499	11.68788358	9.021343353
utax	67sp	mock7	set1	V4	even	mothur	41.42014376	24.49466385	12.9343701	11.21343859	5.581847728
utax	67sp	mock7	set2	V4	even	mothur	41.80620095	25.12003712	15.83595311	14.15069824	4.821560281
utax	67sp	mock7	set3	V4	even	mothur	42.55663917	23.52375177	13.99110073	13.98813668	6.067610047
utax	67sp	mock8	set1	V4	even	mothur	41.13405696	24.26252941	12.90076262	11.43997085	6.069884478
utax	67sp	mock8	set2	V4	even	mothur	41.81446098	25.17510995	15.85519269	14.14095335	5.231627974
utax	67sp	mock8	set3	V4	even	mothur	42.2331887	22.75078483	13.20657157	13.20657157	5.070230644
utax	67sp	mock6	set1	V4	even	uparse	38.77860246	17.1238583	10.75936089	10.73815055	8.729905102
utax	67sp	mock6	set2	V4	even	uparse	40.76695719	19.7523715	10.61124046	10.59431794	8.85954754
utax	67sp	mock6	set3	V4	even	uparse	40.86655949	18.83873533	10.46580276	10.44159789	8.015945665
utax	67sp	mock7	set1	V4	even	uparse	38.99667264	23.52060598	12.05914247	10.81059265	6.429454457
utax	67sp	mock7	set2	V4	even	uparse	39.21478938	24.15475119	14.98911451	13.2473071	5.066240221
utax	67sp	mock7	set3	V4	even	uparse	39.73476665	22.07716302	12.87669859	12.87669859	5.235390084
utax	67sp	mock8	set1	V4	even	uparse	39.00861956	23.56452621	12.22572255	11.03205126	6.8494381
utax	67sp	mock8	set2	V4	even	uparse	39.38376618	24.50113921	15.19382862	13.67204998	5.929754558
utax	67sp	mock8	set3	V4	even	uparse	39.75679693	21.58762631	12.24638422	12.24638422	4.316720244
utax	67sp	mock6	set1	V4	even	qiime	46.7803689	18.21507873	12.14843457	12.11750789	10.48749965
utax	67sp	mock6	set2	V4	even	qiime	47.90555655	21.1234982	12.38864567	12.36854235	10.7224929
utax	67sp	mock6	set3	V4	even	qiime	48.07725109	19.50070546	11.863621	11.82992749	9.498099989
utax	67sp	mock7	set1	V4	even	qiime	47.28518203	23.46365714	12.04764295	10.83142997	6.527157411
utax	67sp	mock7	set2	V4	even	qiime	47.57506117	24.07524291	14.94469761	13.22516565	5.140258469
utax	67sp	mock7	set3	V4	even	qiime	45.78045985	22.04125349	12.87032095	12.87032095	5.911202167
utax	67sp	mock8	set1	V4	even	qiime	48.05506983	23.85509154	12.59341603	11.28714327	6.252043513
utax	67sp	mock8	set2	V4	even	qiime	48.22047709	24.48709656	15.38728672	13.78824484	5.602016862
utax	67sp	mock8	set3	V4	even	qiime	47.00017741	22.48833688	13.100069	13.100069	5.621252304
