databank	nb_OTU	dataset	set_number	amplicon	abundance_law	method	Species	Genus	Family	Order	Class	Phylum	OTU lost	OTU false
silva	20sp	dataset_1	set1	V3V4	powerlaw	mothur	3.30199797872	1.39951247373	1.31822433627	1.26853418791	1.20800806577	0.245672165572	-1	391
silva	20sp	dataset_1	set2	V3V4	powerlaw	mothur	5.28084781353	1.46786374492	1.42752399438	1.42752399438	1.42752399438	1.3442830409	-1	544
silva	20sp	dataset_1	set3	V3V4	powerlaw	mothur	1.7114216736	1.00880239852	0.999551989955	0.999551989955	0.999551989955	0.291175428521	-1	576
silva	20sp	dataset_1	set4	V3V4	powerlaw	mothur	1.9256663698	0.918897968195	0.827282628994	0.764186294525	0.754761524572	0.466984725341	-1	843
silva	20sp	dataset_1	set5	V3V4	powerlaw	mothur	5.346079778	1.39835187731	1.351417306	1.35038933491	1.33411601626	1.00984684553	-1	443
silva	20sp	dataset_1	set6	V3V4	powerlaw	mothur	4.63064696596	0.841255340231	0.795095013841	0.765982701939	0.765982701939	0.345514263171	-1	487
silva	20sp	dataset_1	set7	V3V4	powerlaw	mothur	1.62662896039	1.02772650901	0.94657841369	0.945556002435	0.921542665496	0.553454982857	-1	612
silva	20sp	dataset_1	set8	V3V4	powerlaw	mothur	1.73356828999	1.40219860342	1.38677063148	1.38677063148	1.36973756405	1.31600640228	-1	569
silva	20sp	dataset_1	set9	V3V4	powerlaw	mothur	1.38860727942	0.852284467759	0.795192937687	0.629782929122	0.629782929122	0.390860761716	-1	424
silva	20sp	dataset_1	set10	V3V4	powerlaw	mothur	6.22742894097	1.26680278447	1.25920313823	1.20076130608	1.20076130608	0.782846653718	-1	498
silva	20sp	dataset_2	set1	V3V4	powerlaw	mothur	8.75152223141	0.961438172292	0.803668615918	0.756714932998	0.726096168961	0.383224649183	-3	654
silva	20sp	dataset_2	set2	V3V4	powerlaw	mothur	5.99669631806	1.63768639367	1.30771487936	1.29931966119	1.28606895788	0.204876882845	-3	484
silva	20sp	dataset_2	set3	V3V4	powerlaw	mothur	8.55298621103	1.09197437936	0.959037938069	0.959037938069	0.902496171827	0.640601451869	-3	585
silva	20sp	dataset_2	set4	V3V4	powerlaw	mothur	19.7975999136	1.02397297863	0.939668827572	0.939668827572	0.939668827572	0.633732476203	-3	562
silva	20sp	dataset_2	set5	V3V4	powerlaw	mothur	7.63055918835	1.60559191535	1.5491891793	1.54201064926	1.50028598036	1.41457438733	-3	638
silva	20sp	dataset_2	set6	V3V4	powerlaw	mothur	2.53138981175	0.57915860795	0.52049193586	0.52049193586	0.506454004511	0.500629199822	-3	812
silva	20sp	dataset_2	set7	V3V4	powerlaw	mothur	3.79687592235	0.880361414419	0.857075462637	0.856047438705	0.797988036759	0.670511259384	-3	583
silva	20sp	dataset_2	set8	V3V4	powerlaw	mothur	52.3269905202	1.01563210021	0.965186324276	0.965186324276	0.965186324276	0.684019377346	-3	486
silva	20sp	dataset_2	set9	V3V4	powerlaw	mothur	12.7481002297	1.97126887708	1.40797343844	1.40797343844	1.38533482512	0.459427997078	-3	534
silva	20sp	dataset_2	set10	V3V4	powerlaw	mothur	6.96552551553	1.45610201953	1.40748586036	1.40234272695	1.38593268872	1.10550992606	-3	452
silva	20sp	dataset_3	set1	V3V4	powerlaw	mothur	1.94511818838	0.954692764626	0.450577091218	0.416940699034	0.416940699034	0.347054939084	-1	722
silva	20sp	dataset_3	set2	V3V4	powerlaw	mothur	48.5465504706	0.920985625889	0.876982801522	0.808134303497	0.806087660503	0.714150155124	-1	725
silva	20sp	dataset_3	set3	V3V4	powerlaw	mothur	1.89156573995	0.382163140845	0.349082296986	0.346977800008	0.346977800008	0.264434999777	-1	596
silva	20sp	dataset_3	set4	V3V4	powerlaw	mothur	2.29408250501	1.45828404512	1.44947697267	1.39162188102	1.38342868547	1.15009674258	-1	329
silva	20sp	dataset_3	set5	V3V4	powerlaw	mothur	10.1629668371	1.18445357492	1.18445357492	1.12232422411	1.11318756961	0.664440840101	-1	608
silva	20sp	dataset_3	set6	V3V4	powerlaw	mothur	2.59318721053	0.630307985853	0.562395876142	0.548956099118	0.548737871592	0.323855543365	-1	640
silva	20sp	dataset_3	set7	V3V4	powerlaw	mothur	2.00305636221	0.681676991898	0.677844422757	0.58106332274	0.58106332274	0.543957398274	-1	434
silva	20sp	dataset_3	set8	V3V4	powerlaw	mothur	2.23132251719	0.641835600912	0.633583754561	0.581636314784	0.581636314784	0.449414807121	-1	522
silva	20sp	dataset_3	set9	V3V4	powerlaw	mothur	2.79357997076	1.51547423858	1.49595703262	1.35665479833	1.3546003556	1.3546003556	-1	513
silva	20sp	dataset_3	set10	V3V4	powerlaw	mothur	7.67196442759	1.29705857631	1.27044786038	1.26827692465	1.26725343557	1.1066696157	-1	403
silva	20sp	dataset_4	set1	V3V4	powerlaw	mothur	3.59387966754	0.598181052907	0.586046865065	0.586046865065	0.586046865065	0.499234138448	-2	733
silva	20sp	dataset_4	set2	V3V4	powerlaw	mothur	50.3299835565	1.13121494384	1.10966044669	1.10966044669	1.10966044669	0.82774408089	-2	425
silva	20sp	dataset_4	set3	V3V4	powerlaw	mothur	54.1379442456	0.756651621174	0.742754479839	0.732518590303	0.732518590303	0.627743724664	-2	648
silva	20sp	dataset_4	set4	V3V4	powerlaw	mothur	17.9266611816	0.865894060872	0.837129794309	0.837129794309	0.837129794309	0.796822583471	-2	446
silva	20sp	dataset_4	set5	V3V4	powerlaw	mothur	11.1483453184	0.649373988607	0.570358395221	0.570358395221	0.562179504003	0.423394015069	-2	414
silva	20sp	dataset_4	set6	V3V4	powerlaw	mothur	48.7935644585	0.574768562196	0.537140750807	0.365164260077	0.365164260077	0.31949367512	-2	607
